"category","room_count","bathroom_count","size","type","price","city","region"
"Terrains et Fermes",3,1,120,"À Vendre",1e+05,"Ariana","Raoued"
"Terrains et Fermes",3,1,120,"À Vendre",316000,"Ariana","Autres villes"
"Appartements",2,1,80,"À Louer",380,"Ariana","Autres villes"
"Locations de vacances",1,1,90,"À Louer",70,"Ariana","Autres villes"
"Appartements",2,1,113,"À Vendre",170000,"Ariana","Ariana Ville"
"Locations de vacances",1,1,70,"À Louer",80,"Ariana","Autres villes"
"Appartements",2,1,100,"À Louer",670,"Ariana","Borj Louzir"
"Magasins, Commerces et Locaux industriels",2,1,20,"À Louer",650,"Ariana","Borj Louzir"
"Terrains et Fermes",3,1,120,"À Vendre",180000,"Ariana","Autres villes"
"Magasins, Commerces et Locaux industriels",1,1,40,"À Louer",450,"Ariana","Ariana Ville"
"Maisons et Villas",4,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Terrains et Fermes",3,1,120,"À Vendre",6e+05,"Ariana","La Soukra"
"Maisons et Villas",4.5,1,220,"À Louer",2000,"Ariana","Chotrana"
"Appartements",3,1,138,"À Vendre",340000,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",2,1,150,"À Vendre",120000,"Ariana","Raoued"
"Appartements",3,1,180,"À Louer",300,"Ariana","Borj Louzir"
"Appartements",3,1,231.5,"À Louer",500,"Ariana","Ariana Ville"
"Terrains et Fermes",3,1,120,"À Vendre",350000,"Ariana","Sidi Thabet"
"Appartements",2,1,80,"À Vendre",230000,"Ariana","Ennasr"
"Magasins, Commerces et Locaux industriels",1,1,20,"À Vendre",55000,"Ariana","Borj Louzir"
"Appartements",2,1,80,"À Louer",400,"Ariana","Ghazela"
"Appartements",4,1,200,"À Vendre",440000,"Ariana","Ennasr"
"Maisons et Villas",4,1,130,"À Vendre",125000,"Ariana","Autres villes"
"Maisons et Villas",2,1,150,"À Vendre",170000,"Ariana","Ghazela"
"Appartements",4,1,160,"À Vendre",310000,"Ariana","Autres villes"
"Appartements",2,1,89,"À Vendre",136000,"Ariana","Borj Louzir"
"Appartements",2,1,94,"À Vendre",185000,"Ariana","La Soukra"
"Appartements",1,1,79,"À Vendre",146150,"Ariana","Ghazela"
"Terrains et Fermes",3,1,120,"À Vendre",420000,"Ariana","La Soukra"
"Maisons et Villas",4.5,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Maisons et Villas",4,1,231.5,"À Vendre",265000,"Ariana","Ghazela"
"Maisons et Villas",3,1,130,"À Louer",1250,"Ariana","Ennasr"
"Appartements",3,1,157,"À Vendre",340000,"Ariana","Ennasr"
"Magasins, Commerces et Locaux industriels",1,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Maisons et Villas",3,1,220,"À Vendre",490000,"Ariana","Ennasr"
"Appartements",2,1,105,"À Vendre",225000,"Ariana","La Soukra"
"Maisons et Villas",4.5,1,231.5,"À Vendre",620000,"Ariana","Chotrana"
"Magasins, Commerces et Locaux industriels",1,1,65,"À Louer",4000,"Ariana","Jardins D'el Menzah"
"Appartements",3,1,130,"À Vendre",320000,"Ariana","Ennasr"
"Terrains et Fermes",3,1,120,"À Vendre",90000,"Ariana","Raoued"
"Terrains et Fermes",3,1,120,"À Vendre",558000,"Ariana","La Soukra"
"Appartements",1,1,90,"À Louer",175,"Ariana","Ghazela"
"Magasins, Commerces et Locaux industriels",2,1,231.5,"À Louer",3500,"Ariana","La Soukra"
"Appartements",2,1,75,"À Louer",475,"Ariana","Raoued"
"Maisons et Villas",4.5,1,231.5,"À Louer",1000,"Ariana","Autres villes"
"Appartements",2,1,80,"À Louer",90,"Ariana","Ennasr"
"Maisons et Villas",4.5,1,231.5,"À Louer",2500,"Ariana","Autres villes"
"Maisons et Villas",4,1,180,"À Vendre",648800,"Ariana","La Soukra"
"Maisons et Villas",4.5,1,231.5,"À Vendre",470000,"Ariana","La Soukra"
"Magasins, Commerces et Locaux industriels",4,1,120,"À Louer",120,"Ariana","Autres villes"
"Appartements",2,1,100,"À Louer",1000,"Ariana","Ennasr"
"Appartements",2,1,80,"À Louer",420,"Ariana","Ghazela"
"Appartements",2,1,120,"À Vendre",270000,"Ariana","Ennasr"
"Magasins, Commerces et Locaux industriels",1,1,220,"À Louer",1000,"Ariana","La Soukra"
"Appartements",3,1,100,"À Vendre",170000,"Ariana","Borj Louzir"
"Appartements",2,1,74,"À Vendre",180000,"Ariana","Ennasr"
"Appartements",2,1,90,"À Vendre",205000,"Ariana","Ariana"
"Appartements",1,1,110,"À Louer",1200,"Ariana","Autres villes"
"Appartements",3,1,160,"À Louer",1200,"Ariana","Ennasr"
"Maisons et Villas",2,1,120,"À Louer",330,"Ariana","Raoued"
"Appartements",3,1,151,"À Vendre",225000,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",4.5,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Appartements",4,1,145,"À Vendre",410000,"Ariana","Ennasr"
"Appartements",4,1,126,"À Vendre",250000,"Ariana","Ennasr"
"Terrains et Fermes",3,1,120,"À Vendre",110000,"Ariana","Autres villes"
"Appartements",2,1,75,"À Louer",90,"Ariana","Autres villes"
"Appartements",3,1,160,"À Louer",1360,"Ariana","La Soukra"
"Appartements",2,1,108,"À Louer",90,"Ariana","Autres villes"
"Magasins, Commerces et Locaux industriels",1,1,100,"À Louer",1800,"Ariana","Ariana Ville"
"Maisons et Villas",3,1,130,"À Louer",1200,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",1,1,150,"À Vendre",68000,"Ariana","Chotrana"
"Maisons et Villas",4.5,1,231.5,"À Vendre",4e+05,"Ariana","Sidi Thabet"
"Magasins, Commerces et Locaux industriels",1,1,30,"À Vendre",10000,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",1,1,231.5,"À Vendre",88000,"Ariana","Raoued"
"Appartements",2,1,68,"À Louer",700,"Ariana","Ariana Ville"
"Maisons et Villas",3,1,125,"À Vendre",140000,"Ariana","Raoued"
"Appartements",4,1,230,"À Louer",1800,"Ariana","La Soukra"
"Appartements",2,1,100,"À Louer",490,"Ariana","Ghazela"
"Maisons et Villas",4.5,1,130,"À Vendre",210000,"Ariana","Ariana"
"Appartements",1,1,64,"À Vendre",155000,"Ariana","Autres villes"
"Terrains et Fermes",3,1,120,"À Vendre",120000,"Ariana","Raoued"
"Appartements",3,1,110,"À Louer",1000,"Ariana","Ariana"
"Colocations",2,1,75,"À Louer",130,"Ariana","Ariana"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Raoued"
"Maisons et Villas",3,1,200,"À Vendre",90000,"Ariana","Raoued"
"Terrains et Fermes",3,1,120,"À Vendre",550000,"Ariana","Ariana"
"Locations de vacances",1,1,50,"À Louer",85,"Ariana","Ennasr"
"Appartements",2,1,105,"À Vendre",230000,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",1,1,138,"À Vendre",80000,"Ariana","Raoued"
"Locations de vacances",2,1,70,"À Louer",90,"Ariana","Ennasr"
"Maisons et Villas",2,1,103,"À Vendre",115000,"Ariana","Ghazela"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","La Soukra"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Borj Louzir"
"Terrains et Fermes",3,1,120,"À Vendre",2e+05,"Ariana","Raoued"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Raoued"
"Terrains et Fermes",3,1,120,"À Vendre",260000,"Ariana","Raoued"
"Terrains et Fermes",3,1,120,"À Vendre",5e+05,"Ariana","Raoued"
"Terrains et Fermes",3,1,120,"À Vendre",170000,"Ariana","Sidi Thabet"
"Terrains et Fermes",3,1,120,"À Vendre",4e+05,"Ariana","Sidi Thabet"
"Terrains et Fermes",3,1,120,"À Vendre",270000,"Ariana","Sidi Thabet"
"Terrains et Fermes",3,1,120,"À Vendre",250000,"Ariana","Sidi Thabet"
"Terrains et Fermes",3,1,120,"À Vendre",280000,"Ariana","Sidi Thabet"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Sidi Thabet"
"Terrains et Fermes",3,1,120,"À Vendre",180000,"Ariana","Sidi Thabet"
"Terrains et Fermes",3,1,120,"À Vendre",4e+05,"Ariana","Raoued"
"Terrains et Fermes",3,1,120,"À Vendre",150000,"Ariana","Sidi Thabet"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Sidi Thabet"
"Terrains et Fermes",3,1,120,"À Vendre",220000,"Ariana","Sidi Thabet"
"Appartements",3,1,163,"À Vendre",340000,"Ariana","Borj Louzir"
"Maisons et Villas",3,1,120,"À Vendre",4e+05,"Ariana","Ghazela"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Raoued"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Ghazela"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Ariana"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Sidi Thabet"
"Terrains et Fermes",3,1,120,"À Vendre",2e+05,"Ariana","Sidi Thabet"
"Maisons et Villas",4.5,1,231.5,"À Vendre",145000,"Ariana","Ghazela"
"Maisons et Villas",3,1,188,"À Vendre",257000,"Ariana","Jardins D'el Menzah"
"Appartements",1,1,65,"À Louer",800,"Ariana","Ennasr"
"Appartements",1,1,83,"À Louer",950,"Ariana","La Soukra"
"Appartements",3,1,76,"À Vendre",115000,"Ariana","Chotrana"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","La Soukra"
"Terrains et Fermes",3,1,120,"À Vendre",320000,"Ariana","La Soukra"
"Appartements",2,1,120,"À Louer",1200,"Ariana","Jardins D'el Menzah"
"Appartements",1,1,50,"À Louer",300,"Ariana","Borj Louzir"
"Appartements",2,1,130,"À Vendre",28000,"Ariana","Jardins D'el Menzah"
"Terrains et Fermes",3,1,120,"À Vendre",75000,"Ariana","Raoued"
"Maisons et Villas",2,1,125,"À Vendre",78000,"Ariana","Autres villes"
"Appartements",2,1,110,"À Louer",900,"Ariana","Ariana Ville"
"Bureaux et Plateaux",4,1,231.5,"À Louer",3000,"Ariana","Autres villes"
"Magasins, Commerces et Locaux industriels",1,1,100,"À Louer",650,"Ariana","Jardins D'el Menzah"
"Terrains et Fermes",3,1,120,"À Vendre",85000,"Ariana","Raoued"
"Appartements",4,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Appartements",3,1,231.5,"À Louer",1360,"Ariana","La Soukra"
"Maisons et Villas",2,1,200,"À Louer",130,"Ariana","Autres villes"
"Appartements",3,1,143,"À Vendre",360000,"Ariana","La Soukra"
"Appartements",4,1,200,"À Vendre",360000,"Ariana","Ennasr"
"Appartements",3,1,150,"À Vendre",350000,"Ariana","Ennasr"
"Appartements",2,1,130,"À Vendre",3e+05,"Ariana","Ennasr"
"Appartements",4,1,120,"À Vendre",2e+05,"Ariana","Autres villes"
"Appartements",1,1,56,"À Vendre",158000,"Ariana","Jardins D'el Menzah"
"Appartements",2,1,136,"À Vendre",3e+05,"Ariana","Ennasr"
"Appartements",3,1,140,"À Vendre",275000,"Ariana","Jardins D'el Menzah"
"Appartements",1,1,27,"À Louer",70,"Ariana","Autres villes"
"Magasins, Commerces et Locaux industriels",1,1,36,"À Vendre",119000,"Ariana","Ariana"
"Appartements",3,1,110,"À Vendre",150000,"Ariana","Raoued"
"Appartements",2,1,100,"À Vendre",230000,"Ariana","Jardins D'el Menzah"
"Appartements",2,1,120,"À Vendre",240000,"Ariana","Ennasr"
"Terrains et Fermes",3,1,120,"À Vendre",75000,"Ariana","Ariana"
"Appartements",3,1,165,"À Vendre",648800,"Ariana","Jardins D'el Menzah"
"Appartements",1,1,70,"À Louer",830,"Ariana","Jardins D'el Menzah"
"Appartements",2,1,126,"À Vendre",330000,"Ariana","Ennasr"
"Maisons et Villas",4.5,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Maisons et Villas",4,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Appartements",3,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Maisons et Villas",4.5,1,210,"À Vendre",320000,"Ariana","Ariana Ville"
"Appartements",2,1,186,"À Vendre",470000,"Ariana","La Soukra"
"Appartements",3,1,188,"À Vendre",648800,"Ariana","La Soukra"
"Appartements",2,1,120,"À Louer",100,"Ariana","Ennasr"
"Appartements",1,1,87,"À Vendre",243000,"Ariana","Ennasr"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Mnihla"
"Appartements",3,1,165,"À Vendre",648800,"Ariana","La Soukra"
"Appartements",2,1,98,"À Louer",550,"Ariana","Raoued"
"Appartements",2,1,60,"À Louer",380,"Ariana","Borj Louzir"
"Appartements",4,1,130,"À Vendre",285000,"Ariana","Jardins D'el Menzah"
"Terrains et Fermes",3,1,120,"À Vendre",27400,"Ariana","Ariana"
"Appartements",3,1,85,"À Louer",150,"Ariana","Ghazela"
"Appartements",1,1,60,"À Vendre",180000,"Ariana","Ennasr"
"Appartements",2,1,130,"À Louer",750,"Ariana","La Soukra"
"Appartements",2,1,120,"À Louer",700,"Ariana","La Soukra"
"Appartements",4,1,110,"À Louer",830,"Ariana","Autres villes"
"Appartements",3,1,140,"À Louer",1400,"Ariana","Autres villes"
"Maisons et Villas",2,1,130,"À Louer",650,"Ariana","Ghazela"
"Maisons et Villas",4,1,110,"À Louer",1300,"Ariana","Ennasr"
"Appartements",2,1,90,"À Louer",90,"Ariana","Autres villes"
"Appartements",1,1,75,"À Vendre",190000,"Ariana","Ennasr"
"Appartements",2,1,100,"À Louer",850,"Ariana","La Soukra"
"Appartements",4,1,100,"À Vendre",4e+05,"Ariana","Autres villes"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Autres villes"
"Terrains et Fermes",3,1,120,"À Vendre",1e+05,"Ariana","Borj Louzir"
"Appartements",1,1,80,"À Louer",120,"Ariana","La Soukra"
"Maisons et Villas",4,1,120,"À Vendre",2e+05,"Ariana","Autres villes"
"Appartements",3,1,130,"À Louer",1400,"Ariana","Jardins D'el Menzah"
"Appartements",3,1,138,"À Vendre",295000,"Ariana","Ariana Ville"
"Magasins, Commerces et Locaux industriels",3,1,98,"À Vendre",65000,"Ariana","Autres villes"
"Maisons et Villas",3,1,90,"À Louer",470,"Ariana","La Soukra"
"Appartements",1,1,85,"À Louer",950,"Ariana","La Soukra"
"Terrains et Fermes",3,1,120,"À Vendre",260000,"Ariana","Mnihla"
"Maisons et Villas",2,1,110,"À Vendre",115000,"Ariana","Autres villes"
"Terrains et Fermes",3,1,120,"À Vendre",43000,"Ariana","Autres villes"
"Appartements",3,1,130,"À Louer",120,"Ariana","Autres villes"
"Terrains et Fermes",3,1,120,"À Vendre",470000,"Ariana","Ariana Ville"
"Appartements",1,1,72,"À Vendre",160000,"Ariana","Chotrana"
"Maisons et Villas",4,1,231.5,"À Vendre",490000,"Ariana","Ariana"
"Appartements",2,1,62,"À Vendre",109000,"Ariana","Chotrana"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",4,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Terrains et Fermes",3,1,120,"À Vendre",250000,"Ariana","Raoued"
"Appartements",3,1,80,"À Louer",450,"Ariana","Borj Louzir"
"Appartements",3,1,85,"À Vendre",150000,"Ariana","Borj Louzir"
"Maisons et Villas",4,1,231.5,"À Louer",1700,"Ariana","Autres villes"
"Maisons et Villas",4,1,231.5,"À Louer",800,"Ariana","Autres villes"
"Appartements",1,1,40,"À Louer",300,"Ariana","Ghazela"
"Maisons et Villas",2,1,100,"À Louer",290,"Ariana","Chotrana"
"Maisons et Villas",2,1,80,"À Louer",380,"Ariana","Ariana"
"Maisons et Villas",2,1,90,"À Louer",250,"Ariana","Raoued"
"Appartements",3,1,110,"À Louer",790,"Ariana","La Soukra"
"Appartements",2,1,100,"À Louer",400,"Ariana","Raoued"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Raoued"
"Bureaux et Plateaux",2,1,90,"À Louer",900,"Ariana","Ennasr"
"Maisons et Villas",3,1,130,"À Louer",370,"Ariana","La Soukra"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Sidi Thabet"
"Appartements",4,1,180,"À Louer",1200,"Ariana","Ariana"
"Maisons et Villas",4.5,1,231.5,"À Louer",2850,"Ariana","Ariana"
"Appartements",2,1,52,"À Vendre",85000,"Ariana","Ariana"
"Appartements",3,1,120,"À Vendre",245000,"Ariana","Ariana"
"Terrains et Fermes",3,1,120,"À Vendre",249000,"Ariana","Ariana"
"Terrains et Fermes",3,1,120,"À Vendre",190000,"Ariana","Ariana"
"Appartements",3,1,153,"À Vendre",339000,"Ariana","Ariana"
"Appartements",2,1,115,"À Vendre",168000,"Ariana","Ghazela"
"Maisons et Villas",3,1,231.5,"À Vendre",540000,"Ariana","Ariana"
"Maisons et Villas",3,1,161,"À Vendre",370000,"Ariana","Ariana"
"Appartements",3,1,100,"À Vendre",125000,"Ariana","Raoued"
"Appartements",2,1,70,"À Vendre",230000,"Ariana","Ariana"
"Terrains et Fermes",3,1,120,"À Vendre",230000,"Ariana","Ariana"
"Maisons et Villas",3,1,231.5,"À Vendre",648800,"Ariana","Ariana"
"Bureaux et Plateaux",1,1,60,"À Vendre",160000,"Ariana","Ariana"
"Bureaux et Plateaux",3,1,131,"À Louer",2500,"Ariana","Ghazela"
"Appartements",3,1,125,"À Vendre",210000,"Ariana","Ghazela"
"Terrains et Fermes",3,1,120,"À Vendre",120000,"Ariana","Ghazela"
"Bureaux et Plateaux",2,1,100,"À Louer",1600,"Ariana","Ghazela"
"Maisons et Villas",3,1,231.5,"À Vendre",648800,"Ariana","Ghazela"
"Maisons et Villas",4,1,231.5,"À Vendre",530000,"Ariana","Ghazela"
"Appartements",2,1,65,"À Louer",600,"Ariana","Ariana"
"Maisons et Villas",4,1,120,"À Vendre",175000,"Ariana","Ghazela"
"Appartements",3,1,150,"À Louer",550,"Ariana","Borj Louzir"
"Terrains et Fermes",3,1,120,"À Vendre",530000,"Ariana","Jardins D'el Menzah"
"Appartements",3,1,80,"À Louer",800,"Ariana","Ennasr"
"Appartements",2,1,60,"À Louer",650,"Ariana","Ennasr"
"Appartements",4,1,157,"À Vendre",441000,"Ariana","Ennasr"
"Appartements",3,1,187,"À Vendre",570000,"Ariana","La Soukra"
"Appartements",1,1,57,"À Vendre",145000,"Ariana","Jardins D'el Menzah"
"Locations de vacances",1,1,60,"À Louer",70,"Ariana","Ennasr"
"Maisons et Villas",4.5,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Maisons et Villas",3,1,155,"À Louer",465,"Ariana","Mnihla"
"Appartements",2,1,95,"À Louer",90,"Ariana","Autres villes"
"Magasins, Commerces et Locaux industriels",1,1,231.5,"À Vendre",648800,"Ariana","Mnihla"
"Appartements",1,1,50,"À Louer",650,"Ariana","Ennasr"
"Magasins, Commerces et Locaux industriels",2,1,40,"À Vendre",82000,"Ariana","La Soukra"
"Appartements",1,1,80,"À Louer",90,"Ariana","La Soukra"
"Terrains et Fermes",3,1,120,"À Vendre",480000,"Ariana","Chotrana"
"Appartements",3,1,130,"À Louer",650,"Ariana","Mnihla"
"Appartements",3,1,105,"À Louer",750,"Ariana","Ghazela"
"Appartements",2,1,126,"À Vendre",330000,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",4.5,1,220,"À Vendre",480000,"Ariana","Ghazela"
"Appartements",3,1,150,"À Louer",650,"Ariana","La Soukra"
"Appartements",3,1,163,"À Vendre",340000,"Ariana","Ennasr"
"Appartements",1,1,70,"À Louer",280,"Ariana","Autres villes"
"Appartements",2,1,90,"À Louer",750,"Ariana","Ariana"
"Maisons et Villas",4,1,100,"À Louer",530,"Ariana","Ghazela"
"Appartements",4,1,110,"À Louer",600,"Ariana","Ariana"
"Appartements",2,1,105,"À Vendre",220000,"Ariana","Ennasr"
"Appartements",4,1,153,"À Vendre",360000,"Ariana","Ariana"
"Appartements",3,1,200,"À Louer",2300,"Ariana","Ennasr"
"Appartements",2,1,120,"À Vendre",230000,"Ariana","Jardins D'el Menzah"
"Magasins, Commerces et Locaux industriels",2,1,160,"À Louer",800,"Ariana","La Soukra"
"Appartements",2,1,140,"À Louer",1250,"Ariana","Ennasr"
"Appartements",2,1,110,"À Louer",1100,"Ariana","Ennasr"
"Terrains et Fermes",3,1,120,"À Vendre",180000,"Ariana","Raoued"
"Appartements",2,1,150,"À Louer",1500,"Ariana","Ennasr"
"Appartements",3,1,85,"À Louer",330,"Ariana","Raoued"
"Maisons et Villas",4.5,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Magasins, Commerces et Locaux industriels",1,1,200,"À Louer",1400,"Ariana","La Soukra"
"Appartements",3,1,135,"À Louer",900,"Ariana","La Soukra"
"Appartements",2,1,100,"À Vendre",90000,"Ariana","Borj Louzir"
"Appartements",3,1,140,"À Vendre",290000,"Ariana","La Soukra"
"Appartements",3,1,130,"À Louer",1400,"Ariana","La Soukra"
"Appartements",4,1,170,"À Vendre",295000,"Ariana","Ennasr"
"Appartements",3,1,76,"À Vendre",120000,"Ariana","Ariana"
"Maisons et Villas",4.5,1,231.5,"À Vendre",648800,"Ariana","Ariana"
"Appartements",3,1,160,"À Vendre",310000,"Ariana","Ennasr"
"Appartements",4,1,130,"À Vendre",95000,"Ariana","Borj Louzir"
"Terrains et Fermes",3,1,120,"À Vendre",45000,"Ariana","Autres villes"
"Appartements",1,1,66,"À Louer",650,"Ariana","Jardins D'el Menzah"
"Appartements",1,1,36,"À Louer",400,"Ariana","Ariana Ville"
"Appartements",2,1,100,"À Vendre",310000,"Ariana","La Soukra"
"Terrains et Fermes",3,1,120,"À Vendre",270000,"Ariana","Mnihla"
"Maisons et Villas",4.5,1,231.5,"À Vendre",310000,"Ariana","Jardins D'el Menzah"
"Appartements",2,1,72,"À Vendre",160000,"Ariana","Chotrana"
"Appartements",1,1,90,"À Louer",90,"Ariana","Autres villes"
"Locations de vacances",1,1,90,"À Louer",90,"Ariana","Autres villes"
"Terrains et Fermes",3,1,120,"À Vendre",190000,"Ariana","Jardins D'el Menzah"
"Appartements",3,1,110,"À Vendre",220000,"Ariana","Borj Louzir"
"Appartements",2,1,80,"À Louer",580,"Ariana","Ariana"
"Terrains et Fermes",3,1,120,"À Vendre",420000,"Ariana","Raoued"
"Appartements",2,1,100,"À Louer",230,"Ariana","Borj Louzir"
"Terrains et Fermes",3,1,120,"À Vendre",105000,"Ariana","Raoued"
"Appartements",1,1,60,"À Louer",650,"Ariana","Jardins D'el Menzah"
"Appartements",3,1,170,"À Vendre",350000,"Ariana","Ennasr"
"Appartements",2,1,100,"À Louer",800,"Ariana","La Soukra"
"Terrains et Fermes",3,1,120,"À Vendre",648800,"Ariana","Ghazela"
"Locations de vacances",2,1,70,"À Louer",80,"Ariana","Ennasr"
"Appartements",3,1,100,"À Louer",700,"Ariana","Borj Louzir"
"Terrains et Fermes",3,1,120,"À Vendre",220000,"Ariana","Raoued"
"Appartements",3,1,190,"À Louer",2500,"Ariana","Ennasr"
"Terrains et Fermes",3,1,120,"À Vendre",625000,"Ariana","Raoued"
"Maisons et Villas",4.5,1,231.5,"À Vendre",280000,"Ariana","Raoued"
"Bureaux et Plateaux",4.5,1,231.5,"À Louer",3000,"Ariana","Ariana Ville"
"Appartements",1,1,70,"À Louer",1350,"Ariana","La Soukra"
"Appartements",2,1,100,"À Louer",850,"Ariana","La Soukra"
"Appartements",2,1,120,"À Vendre",280000,"Ariana","La Soukra"
"Appartements",3,1,140,"À Louer",1000,"Ariana","Chotrana"
"Appartements",1,1,80,"À Louer",900,"Ariana","La Soukra"
"Maisons et Villas",4.5,1,231.5,"À Vendre",410000,"Ariana","La Soukra"
"Locations de vacances",1,1,231.5,"À Vendre",648800,"Ariana","Ariana"
"Bureaux et Plateaux",2,1,83,"À Louer",900,"Ariana","Autres villes"
"Appartements",3,1,155,"À Vendre",3e+05,"Ariana","La Soukra"
"Appartements",1,1,95,"À Louer",750,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",4.5,1,231.5,"À Vendre",550000,"Ariana","Ariana"
"Appartements",3,1,175,"À Vendre",440000,"Ariana","Autres villes"
"Appartements",2,1,120,"À Louer",700,"Ariana","Ghazela"
"Appartements",2,1,150,"À Louer",1400,"Ariana","Ennasr"
"Appartements",1,1,50,"À Louer",500,"Ariana","Ennasr"
"Maisons et Villas",4.5,1,231.5,"À Vendre",648800,"Ariana","Ariana Ville"
"Colocations",3,1,231.5,"À Louer",400,"Ariana","La Soukra"
"Appartements",2,1,70,"À Louer",480,"Ariana","Borj Louzir"
"Appartements",2,1,140,"À Vendre",240000,"Ariana","La Soukra"
"Appartements",3,1,130,"À Louer",950,"Ariana","Jardins D'el Menzah"
"Appartements",3,1,85,"À Louer",900,"Ariana","Autres villes"
"Appartements",1,1,45,"À Louer",500,"Ariana","Jardins D'el Menzah"
"Bureaux et Plateaux",2,1,84,"À Vendre",169000,"Ariana","Ariana Ville"
"Terrains et Fermes",3,1,120,"À Vendre",12000,"Ariana","Raoued"
"Appartements",1,1,80,"À Louer",750,"Ariana","La Soukra"
"Bureaux et Plateaux",2,1,90,"À Louer",800,"Ariana","Jardins D'el Menzah"
"Appartements",4,1,117,"À Louer",550,"Ariana","Raoued"
"Maisons et Villas",2,1,100,"À Louer",3e+05,"Ariana","Ariana"
"Appartements",4,1,100,"À Vendre",170000,"Ariana","Borj Louzir"
"Maisons et Villas",4.5,1,231.5,"À Louer",3700,"Ariana","La Soukra"
"Maisons et Villas",4,1,231.5,"À Louer",3500,"Ariana","La Soukra"
"Appartements",4,1,174,"À Vendre",5e+05,"Ariana","La Soukra"
"Appartements",2,1,107,"À Vendre",220000,"Ariana","La Soukra"
"Appartements",2,1,122,"À Vendre",268000,"Ariana","La Soukra"
"Maisons et Villas",4.5,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
"Appartements",2,1,115,"À Vendre",310000,"Ariana","La Soukra"
"Magasins, Commerces et Locaux industriels",1,1,231.5,"À Vendre",10000,"Ariana","La Soukra"
"Colocations",4,1,150,"À Louer",197,"Ariana","Autres villes"
"Appartements",1,1,85,"À Louer",1000,"Ariana","Ennasr"
"Appartements",3,1,200,"À Vendre",355000,"Ariana","Ennasr"
"Locations de vacances",2,1,70,"À Louer",360,"Ariana","Autres villes"
"Appartements",2,1,90,"À Vendre",135000,"Ariana","Borj Louzir"
"Terrains et Fermes",3,1,120,"À Vendre",25000,"Ariana","Autres villes"
"Appartements",3,1,187,"À Vendre",465000,"Ariana","Ennasr"
"Appartements",3,1,191,"À Vendre",370000,"Ariana","Ennasr"
"Maisons et Villas",3,1,200,"À Louer",650,"Ariana","Ariana"
"Appartements",2,1,90,"À Louer",800,"Ariana","Ariana"
"Appartements",3,1,169,"À Vendre",410000,"Ariana","Ennasr"
"Maisons et Villas",4,1,231.5,"À Vendre",648800,"Ariana","Ennasr"
"Appartements",3,1,130,"À Louer",1200,"Ariana","La Soukra"
"Terrains et Fermes",3,1,120,"À Vendre",130000,"Ariana","Sidi Thabet"
"Maisons et Villas",3,1,231.5,"À Vendre",130000,"Ariana","Raoued"
"Maisons et Villas",3,1,231.5,"À Vendre",648800,"Ariana","Autres villes"
"Maisons et Villas",2,1,120,"À Louer",350,"Ariana","Chotrana"
"Maisons et Villas",3,1,160,"À Louer",310,"Ariana","Raoued"
"Magasins, Commerces et Locaux industriels",1,1,50,"À Vendre",28000,"Ariana","Ghazela"
"Maisons et Villas",4.5,1,125,"À Vendre",185000,"Ariana","Autres villes"
"Magasins, Commerces et Locaux industriels",4,1,200,"À Vendre",648800,"Ariana","La Soukra"
"Maisons et Villas",4.5,1,231.5,"À Vendre",648800,"Ariana","La Soukra"
